_id,Temp,Humidity,Luminosity
69765203ba5f3c13fc65b126,21.27,33.72,23.50
69765208ba5f3c13fc65b127,21.24,33.70,23.50
6976520dba5f3c13fc65b128,21.30,33.81,0.25
69765212ba5f3c13fc65b129,21.32,34.28,23.50
69765218ba5f3c13fc65b12a,21.31,34.62,23.50
6976521dba5f3c13fc65b12b,21.31,34.72,23.75
69765222ba5f3c13fc65b12c,21.33,34.68,23.75
69765228ba5f3c13fc65b12d,21.32,34.60,23.75
6976522dba5f3c13fc65b12e,21.31,34.52,23.50
69765232ba5f3c13fc65b12f,21.30,34.39,24.00
69765238ba5f3c13fc65b130,21.31,34.33,23.75
6976523dba5f3c13fc65b131,21.30,34.24,24.00
69765242ba5f3c13fc65b132,21.31,34.17,23.50
69765248ba5f3c13fc65b133,21.30,34.12,22.75
6976524dba5f3c13fc65b134,21.30,34.06,22.75
69765252ba5f3c13fc65b135,21.32,34.03,23.25
69765257ba5f3c13fc65b136,21.34,34.00,23.50
6976525dba5f3c13fc65b137,21.34,33.96,23.25
69765262ba5f3c13fc65b138,21.33,33.94,23.25
69765267ba5f3c13fc65b139,21.33,33.91,23.00
6976526dba5f3c13fc65b13a,21.34,33.87,23.50
69765272ba5f3c13fc65b13b,21.36,33.84,23.50
69765277ba5f3c13fc65b13c,21.36,33.84,23.50
6976527dba5f3c13fc65b13d,21.39,33.80,23.25
69765282ba5f3c13fc65b13e,21.36,33.79,23.50
69765287ba5f3c13fc65b13f,21.39,33.78,23.50
6976528dba5f3c13fc65b140,21.40,33.73,23.25
69765292ba5f3c13fc65b141,21.39,33.71,23.00
69765297ba5f3c13fc65b142,21.42,33.69,23.25
6976529dba5f3c13fc65b143,21.42,33.68,23.00
697652a2ba5f3c13fc65b144,21.46,33.66,23.00
697652a7ba5f3c13fc65b145,21.47,33.67,23.25
697652acba5f3c13fc65b146,21.48,33.68,23.25
697652b2ba5f3c13fc65b147,21.49,33.67,23.00
697652b7ba5f3c13fc65b148,21.49,33.68,23.00
697652bcba5f3c13fc65b149,21.51,33.65,23.00
697652c2ba5f3c13fc65b14a,21.51,33.62,23.00
697652c7ba5f3c13fc65b14b,21.54,33.61,22.75
697652ccba5f3c13fc65b14c,21.54,33.59,22.75
697652d2ba5f3c13fc65b14d,21.54,33.57,22.00
697652d7ba5f3c13fc65b14e,21.59,33.54,22.75
697652dcba5f3c13fc65b14f,21.58,33.52,22.75
697652e2ba5f3c13fc65b150,21.61,33.52,22.75
697652e7ba5f3c13fc65b151,21.61,33.50,22.75
697652ecba5f3c13fc65b152,21.60,33.47,22.75
697652f2ba5f3c13fc65b153,21.64,33.46,22.75
697652f7ba5f3c13fc65b154,21.67,33.42,22.75
697652fcba5f3c13fc65b155,21.65,33.42,22.50
69765301ba5f3c13fc65b156,21.66,33.41,22.50
69765307ba5f3c13fc65b157,21.69,33.38,22.00
6976530cba5f3c13fc65b158,21.69,33.38,22.00
69765311ba5f3c13fc65b159,21.69,33.34,22.00
69765317ba5f3c13fc65b15a,21.72,33.33,22.00
6976531cba5f3c13fc65b15b,21.73,33.30,22.00
69765321ba5f3c13fc65b15c,21.74,33.27,22.00
69765327ba5f3c13fc65b15d,21.76,33.23,22.00
6976532cba5f3c13fc65b15e,21.74,33.23,22.00
69765331ba5f3c13fc65b15f,21.75,33.22,22.00
69765337ba5f3c13fc65b160,21.78,33.18,22.00
6976533cba5f3c13fc65b161,21.78,33.17,22.00
69765341ba5f3c13fc65b162,21.79,33.14,22.00
69765347ba5f3c13fc65b163,21.81,33.13,22.00
6976534cba5f3c13fc65b164,21.82,33.12,22.50
69765351ba5f3c13fc65b165,21.81,33.13,22.25
69765356ba5f3c13fc65b166,21.82,33.15,22.25
6976535cba5f3c13fc65b167,21.84,33.16,22.75
69765361ba5f3c13fc65b168,21.84,33.16,23.00
69765366ba5f3c13fc65b169,21.87,33.17,22.75
6976536cba5f3c13fc65b16a,21.88,33.17,22.75
69765371ba5f3c13fc65b16b,21.89,33.16,22.75
69765376ba5f3c13fc65b16c,21.91,33.16,22.50
6976537cba5f3c13fc65b16d,21.91,33.14,22.50
69765381ba5f3c13fc65b16e,21.91,33.11,22.50
69765386ba5f3c13fc65b16f,21.91,33.10,22.50
